gbifID,kingdom,phylum,class,order,family,genus,species,decimalLatitude,decimalLongitude,eventDate,day,month,year,speciesKey
3038640410,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.798726,-0.135861,13/6/2012 0:00,13,6,2012,5212973
3038640373,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.919516,-2.124591,11/9/2013 0:00,11,9,2013,5212973
3038640363,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.411283,-2.11203,23/8/2017 0:00,23,8,2017,5212973
3038640303,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.134513,1.303436,3/5/2012 0:00,3,5,2012,5212973
3038640274,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.972509,-0.335519,10/7/2013 0:00,10,7,2013,5212973
3038640162,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.794053,-3.109964,21/6/2016 0:00,21,6,2016,5212973
3038640134,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.967429,0.861223,10/7/2018 0:00,10,7,2018,5212973
3038640126,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,52.817049,0.789018,8/4/2015 0:00,8,4,2015,5212973
3038640084,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.290055,-1.766804,30/6/2014 0:00,30,6,2014,5212973
3038639999,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.978488,0.959504,24/4/2018 0:00,24,4,2018,5212973
3038639980,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,55.000004,-2.662718,16/7/2018 0:00,16,7,2018,5212973
3038639957,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.004594,-1.312512,26/6/2015 0:00,26,6,2015,5212973
3038639931,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,51.9088,0.793513,14/6/2017 0:00,14,6,2017,5212973
3038639853,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.84269,-1.800839,9/8/2019 0:00,9,8,2019,5212973
3038639769,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,54.270354,-3.053388,3/8/2015 0:00,3,8,2015,5212973
3038639701,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,50.620277,-2.174636,23/10/2015 0:00,23,10,2015,5212973
3038639672,Animalia,Chordata,Actinopterygii,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,53.13435,-0.894114,22/9/2015 0:00,22,9,2015,5212973
